date,nav
20240806,133635639.5447596
20240807,133633207.87099485
20240808,133618327.20860334
20240809,133613723.46006137
20240812,133617057.7442301
20240813,133615377.80052999
20240814,133620113.80849154
20240815,133622982.59547994
20240816,133619976.33187999
20240819,133625774.43424016
20240820,133623347.57990378
20240821,133617924.22533639
20240822,133613625.69336481
20240823,133619361.62539017
20240826,133623946.33890048
20240827,133630565.96877123
20240828,133632210.3383237
20240829,133619973.67303294
20240830,133628677.86896311
20240902,133631922.41444995
20240903,133662695.40986952
20240904,133666790.1592151
20240905,133691720.1746577
20240906,133685891.96182698
20240909,133678765.98184983
20240910,133663498.90987712
20240911,133668270.70153747
20240912,133689791.26471359
20240913,133736934.9432334
20240918,133715444.19876274
20240919,133718630.91834964
20240920,133709398.34819959
20240923,133704424.28870454
20240924,133829067.6398465
20240925,133885611.372318
20240926,134114244.71455197
20240927,134433344.8763059
20240930,135214871.34750387
20241008,135731920.46952328
20241009,134946768.1370263
20241010,134924474.98834085
20241011,134616461.79375607
20241014,134839579.89158288
20241015,134670952.68232918
20241016,134717602.6061635
20241017,134653801.65303636
20241018,134820086.5493621
20241021,134914278.90376204
20241022,134996161.140358
20241023,135035580.97071767
20241024,135079383.18872303
20241025,135185710.23366296
20241028,135351816.60079607
20241029,135351059.67242694
20241030,135505014.2805892
20241031,135713581.12058115
20241101,135521789.87268254
20241104,135515206.37387133
20241105,135749290.09988654
20241106,135837206.26069602
20241107,136198418.4413424
20241108,136001522.36656636
20241111,136068444.9298536
20241112,135931953.36313164
20241113,135809616.2966978
20241114,135588657.66351634
20241115,135523544.8932611
20241118,135564029.79357037
20241119,135569583.50393313
20241120,135645547.65677357
20241121,135653687.72775197
20241122,135637193.36674315
20241125,135592566.81148422
20241126,135552210.57001573
20241127,135556984.4304854
20241128,135587630.8157827
20241129,135632405.5193754
20241202,135669136.39495224
20241203,135632202.85781953
20241204,135558586.1257014
20241205,135583856.86119586
20241206,135677819.04005894
20241209,135550845.96040595
20241210,135618367.14691865
20241211,135963800.23214298
20241212,136251526.2414553
20241213,135905053.94115552
20241216,136004572.7189368
20241217,135635698.49963284
20241218,135624267.65236416
20241219,135567650.6956172
20241220,135549585.4632204
20241223,135491817.12057748
20241224,135535413.15155765
20241225,135531190.65239048
20241226,135599949.61957562
20241227,135606629.11844215
20241230,135637956.63853508
20241231,135567131.452295
20250102,135524853.58229807
20250103,135461990.07899994
20250106,135452204.33462268
20250107,135439629.7580944
20250108,135428410.45745024
20250109,135436935.0548985
20250110,135391934.4807553
20250113,135380740.2944729
20250114,135413770.37286872
20250115,135392908.8706064
20250116,135418578.85642096
20250117,135426160.6610057
20250120,135415278.06984392
20250121,135413156.79475936
20250122,135401548.6522159
20250123,135389313.97902173
20250124,135426074.67589775
20250127,135412215.88286182
20250205,135402415.03136405
20250206,135446508.59889707
20250207,135461005.43148085
20250210,135467914.42317238
20250211,135497161.3029207
20250212,135536837.00272992
20250213,135527953.90673092
20250214,135569401.20544416
20250217,135585267.85093853
20250218,135575493.03948024
20250219,135597391.7688935
20250220,135612220.84486637
20250221,135639346.81565005
20250224,135631225.59740272
20250225,135628785.62277704
20250226,135680186.9004963
20250227,135668809.7896148
20250228,135600740.80416846
20250303,135588950.8565273
20250304,135639310.90206453
20250305,135671232.5938581
20250306,135740964.81049824
20250307,135819414.15437523
20250310,135861828.05263156
20250311,135952703.71586123
20250312,135957374.18950742
20250313,135979613.35433632
20250314,136061565.9188454
20250317,136052783.94399887
20250318,136101203.31842205
20250319,136106557.65583977
20250320,136148380.70570818
20250321,136088519.95338538
20250324,136090405.28905353
20250325,136079260.91427535
20250326,136074579.36478096
20250327,136009514.10642505
20250328,135947224.22707358
20250331,135944134.25466895
20250401,135962914.63321766
20250402,135946301.98795637
20250403,135953769.1516256
20250407,135792913.1454136
20250408,135826566.88614658
20250409,135833174.40558732
20250410,135882744.5766654
20250411,135827473.4128023
20250414,135841854.69195083
20250415,135811089.83361292
20250416,135844413.20969582
20250417,135856272.1073663
20250418,135802551.45906964
20250421,135849307.7380107
20250422,135880021.30779764
20250423,135802453.5426214
20250424,135828117.9567883
20250425,135811298.40535393
20250428,135766548.23806682
20250429,135752733.76762378
20250430,135726539.43965816
20250506,135766274.6537646
20250507,135768262.83400303
20250508,135773217.12605068
20250509,135777833.40958548
20250512,135800111.98803663
20250513,135803597.0532479
20250514,135819861.61968198
20250515,135812785.9476182
20250516,135804255.80693203
20250519,135820046.7288932
20250520,135863478.2150947
20250521,135882049.7664636
20250522,135859959.97641602
20250523,135848521.797025
20250526,135837545.79992783
20250527,135877141.13432366
20250528,135886442.93550625
20250529,135884904.15596488
20250530,135877160.29964906
20250603,135925108.331201
20250604,135985429.3096732
20250605,135938817.72714067
20250606,135933444.4457513
20250609,135994502.21030414
20250610,135997240.64567295
20250611,136035639.11351576
20250612,136057691.34950122
20250613,136004553.9529107
20250616,136027106.78042212
20250617,136044428.6393287
20250618,136031976.39903995
20250619,135974319.61911687
20250620,135967318.59061375
20250623,136005570.57699525
20250624,135999866.86516625
20250625,136072439.97012812
20250626,136092450.78293076
20250627,136084440.42156327
20250630,136148621.5563843
20250701,136188955.19843477
20250702,136176986.94498575
20250703,136183318.33760044
20250704,136164321.11639056
20250707,136203565.17440557
20250708,136278161.38880113
20250709,136301356.89786702
20250710,136445207.6531243
20250711,136525745.69397625
20250714,136505091.67556822
20250715,136438796.6978892
20250716,136492179.3774021
20250717,136566021.102747
