date,nav_hold,nav_switch_A,nav_switch_B
20240228,13253532.049331956,9345647.249571232,7510146.614994571
20240229,13359541.389561813,9345647.249571232,7570217.0690231025
20240301,13281196.940351048,9345647.249571232,7525822.993703876
20240304,13212152.938833313,9345647.249571232,7486699.040002022
20240305,13360329.563095119,9345647.249571232,7570663.689499151
20240306,13245650.313998882,9345647.249571232,7505680.410234085
20240307,13269926.058824752,9345647.249571232,7519436.3208963815
20240308,13173768.88776124,9345647.249571232,7464948.622818458
20240311,13355521.704541944,9345647.249571232,7567939.304595255
20240312,13753628.156215552,9345647.249571232,7793527.307047383
20240313,13615303.70112009,9345647.249571232,7715145.413500861
20240314,13530023.324816221,9345647.249571232,7666821.077992408
20240315,13536801.617202666,9345647.249571232,7670662.014086424
20240318,13464053.200078385,9345647.249571232,7629438.944147142
20240319,13462161.583598448,9345647.249571232,7628367.055004626
20240320,13474614.725424703,9345647.249571232,7635423.658526192
20240321,13469885.68422486,9345647.249571232,7632743.935669902
20240322,13409590.408926837,9345647.249571232,7598577.469252186
20240325,13312329.794916695,9345647.249571232,7543464.502507794
20240326,13472171.38747145,9345647.249571232,7634039.135050441
20240327,13406831.801560262,9345647.249571232,7597014.297586016
20240328,13411876.11217343,9345647.249571232,7599872.668632728
20240329,13421807.098693103,9345647.249571232,7605500.0866309395
20240401,13567067.480881672,9345647.249571232,7687812.240366689
20240402,13509215.543536903,9345647.249571232,7655030.297424725
20240403,13518043.087109946,9345647.249571232,7660032.446756468
20240408,13136173.010222472,9345647.249571232,7443644.82611094
20240409,13101178.105343621,9345647.249571232,7423814.876974385
20240410,12988942.194200633,9345647.249571232,7360216.121185069
20240411,12989099.828907296,9345647.249571232,7360305.44528028
20240412,12878991.98630424,9345647.249571232,7297912.564776296
20240415,13185985.577527504,9345647.249571232,7471871.24019721
20240416,13162498.006234942,9345647.249571232,7458561.950010963
20240417,13138852.800235717,9345647.249571232,7445163.335729506
20240418,13168645.75979474,9345647.249571232,7462045.589724141
20240419,12978380.668854315,9345647.249571232,7354231.406806019
20240422,13202379.5870203,9345647.249571232,7481160.94609902
20240423,13338103.069455849,9345647.249571232,7558068.992074583
20240424,13348506.960095508,9345647.249571232,7563964.3823584225
