date,nav_hold,nav_switch_A,nav_switch_B
20161122,1610922.755304042,1142767.3203654652,1687419.29447388
20161123,1626412.3971819654,1153755.4676766717,1703644.4799976673
20161124,1629854.5398215041,1156197.278190273,1707250.0767807313
20161125,1655670.609618043,1174510.8570422838,1734292.05265371
20161128,1657391.6809378127,1175731.7622990846,1736094.851045242
20161129,1655670.609618043,1174510.8570422838,1734292.05265371
20161130,1643623.1103796582,1165964.5202446787,1721672.4639129867
20161201,1652228.4669785046,1172069.0465286823,1730686.4558706463
20161202,1643623.1103796582,1165964.5202446787,1721672.4639129867
20161205,1628133.468501735,1154976.3729334725,1705447.2783891994
20161206,1633296.6824610427,1158639.0887038745,1710855.6735637952
20161207,1631575.6111412735,1157418.183447074,1709052.8751722632
20161208,1638459.8964203503,1162301.8044742765,1716264.0687383907
20161209,1660833.8235773512,1178173.572812686,1739700.447828306
20161212,1635017.7537808118,1159859.993960675,1712658.4719553269
20161213,1621249.1832226575,1150092.7519062695,1698236.0848230715
20161214,1617807.040583119,1147650.941392668,1694630.4880400077
20161215,1591990.97078658,1129337.3625406574,1667588.5121670288
20161216,1591990.97078658,1129337.3625406574,1667588.5121670288
20161219,1583385.6141877335,1123232.8362566538,1658574.520209369
20161220,1567895.9723098099,1112244.6889454473,1642349.3346855817
20161221,1576501.3289086565,1118349.215229451,1651363.3266432416
20161222,1573059.186269118,1115907.4047158496,1647757.7298601777
20161223,1562732.7583505022,1108581.9731750453,1636940.9395109862
20161226,1569617.0436295792,1113465.5942022481,1644152.133077114
20161227,1562732.7583505022,1108581.9731750453,1636940.9395109862
20161228,1559290.6157109637,1106140.162661444,1633335.3427279224
20161229,1562732.7583505022,1105368.7038848463,1632196.2005759522
20161230,1566174.9009900407,1105368.7038848463,1632196.2005759522
20170103,1576501.3289086565,1105368.7038848463,1632196.2005759522
20170104,1576501.3289086565,1105368.7038848463,1632196.2005759522
20170105,1578222.4002284259,1105368.7038848463,1632196.2005759522
20170106,1571338.1149493488,1105368.7038848463,1632196.2005759522
20170109,1574780.2575888874,1105368.7038848463,1632196.2005759522
20170110,1574780.2575888874,1105368.7038848463,1632196.2005759522
20170111,1573059.186269118,1105368.7038848463,1632196.2005759522
20170112,1574780.2575888874,1105368.7038848463,1632196.2005759522
20170113,1576501.3289086565,1105368.7038848463,1632196.2005759522
20170116,1573059.186269118,1105368.7038848463,1632196.2005759522
20170117,1574780.2575888874,1105368.7038848463,1632196.2005759522
20170118,1578222.4002284259,1105368.7038848463,1632196.2005759522
20170119,1579943.471548195,1105368.7038848463,1635421.1254392515
20170120,1586827.7568272722,1105368.7038848463,1642547.1434150222
20170123,1586827.7568272722,1105368.7038848463,1642547.1434150222
20170124,1595433.1134261184,1105368.7038848463,1651454.6658847346
20170125,1593712.042106349,1105368.7038848463,1649673.1613907919
20170126,1605759.5413447341,1105368.7038848463,1662143.6928483897
20170203,1593712.042106349,1105368.7038848463,1649673.1613907919
20170206,1602317.3987051956,1105368.7038848463,1658580.6838605048
20170207,1600596.3273854265,1105368.7038848463,1656799.1793665623
20170208,1600596.3273854265,1105368.7038848463,1656799.1793665623
20170209,1602317.3987051956,1105368.7038848463,1658580.6838605048
20170210,1605759.5413447341,1105368.7038848463,1662143.6928483897
20170213,1619528.1119028884,1105368.7038848463,1676395.7287999303
20170214,1617807.040583119,1105368.7038848463,1674614.2243059876
20170215,1626412.3971819654,1105368.7038848463,1683521.7467757002
20170216,1628133.468501735,1105368.7038848463,1685303.2512696432
20170217,1616085.96926335,1105368.7038848463,1672832.7198120453
20170220,1645344.1816994275,1105368.7038848463,1703118.2962090683
20170221,1647065.2530191967,1105368.7038848463,1704899.8007030108
20170222,1647065.2530191967,1105368.7038848463,1704899.8007030108
20170223,1636738.8251005812,1105368.7038848463,1694210.7737393556
20170224,1635017.7537808118,1105368.7038848463,1692429.269245413
20170227,1622970.254542427,1105368.7038848463,1679958.7377878153
20170228,1631575.6111412735,1105368.7038848463,1688866.2602575282
20170301,1633296.6824610427,1105368.7038848463,1690647.7647514704
20170302,1622970.254542427,1105368.7038848463,1679958.7377878153
20170303,1617807.040583119,1105368.7038848463,1674614.2243059876
20170306,1626412.3971819654,1105368.7038848463,1683521.7467757002
20170307,1626412.3971819654,1105368.7038848463,1683521.7467757002
20170308,1621249.1832226575,1105368.7038848463,1678177.2332938726
20170309,1614364.8979435805,1105368.7038848463,1671051.2153181026
20170310,1617807.040583119,1105368.7038848463,1674614.2243059876
20170313,1624691.325862196,1105368.7038848463,1681740.2422817578
20170314,1624691.325862196,1105368.7038848463,1681740.2422817578
20170315,1631575.6111412735,1105368.7038848463,1688866.2602575282
20170316,1638459.8964203503,1105368.7038848463,1695992.2782332979
20170317,1602317.3987051956,1105368.7038848463,1658580.6838605048
20170320,1591990.97078658,1105368.7038848463,1647891.6568968494
20170321,1590269.8994668107,1105368.7038848463,1646110.1524029071
20170322,1576501.3289086565,1105368.7038848463,1631858.1164513666
20170323,1583385.6141877335,1105368.7038848463,1638984.1344271367
20170324,1581664.5428679644,1105368.7038848463,1637202.6299331943
20170327,1573059.186269118,1105368.7038848463,1628295.1074634816
20170328,1569617.0436295792,1105368.7038848463,1624732.0984755964
20170329,1567895.9723098099,1105368.7038848463,1622950.5939816537
20170330,1562732.7583505022,1105368.7038848463,1617606.0804998265
20170331,1578222.4002284259,1105368.7038848463,1633639.6209453093
20170405,1585106.6855075029,1105368.7038848463,1640765.6389210795
20170406,1583385.6141877335,1105368.7038848463,1638984.1344271367
20170407,1583385.6141877335,1105368.7038848463,1638984.1344271367
20170410,1579943.471548195,1105368.7038848463,1635421.1254392515
20170411,1574780.2575888874,1105368.7038848463,1630076.6119574243
20170412,1569617.0436295792,1105368.7038848463,1624732.0984755964
20170413,1569617.0436295792,1105368.7038848463,1624732.0984755964
20170414,1562732.7583505022,1105368.7038848463,1617606.0804998265
20170417,1566174.9009900407,1105368.7038848463,1621169.0894877114
20170418,1557569.5443911946,1105368.7038848463,1612261.567017999
20170419,1533474.5459144246,1105368.7038848463,1587320.5041028033
20170420,1535195.6172341937,1105368.7038848463,1589102.0085967456
20170421,1543800.9738330403,1105368.7038848463,1598009.5310664584
20170424,1536916.688553963,1105368.7038848463,1590883.5130906883
20170425,1548964.1877923482,1105368.7038848463,1603354.0445482861
20170426,1547243.1164725788,1105368.7038848463,1601572.5400543434
20170427,1543800.9738330403,1105368.7038848463,1598009.5310664584
20170428,1547243.1164725788,1105368.7038848463,1601572.5400543434
20170502,1538637.7598737322,1105368.7038848463,1592665.0175846308
20170503,1533474.5459144246,1105368.7038848463,1587320.5041028033
20170504,1504216.333478347,1105368.7038848463,1557034.9277057801
20170505,1485284.548960885,1105368.7038848463,1537438.378272412
20170508,1474958.1210422693,1105368.7038848463,1526749.351308757
20170509,1487005.6202806544,1105368.7038848463,1539219.8827663548
20170510,1492168.834239962,1105368.7038848463,1544564.3962481823
20170511,1497332.0481992697,1105368.7038848463,1538228.8175643387
20170512,1531753.4745946552,1105368.7038848463,1538228.8175643387
20170515,1524869.1893155782,1105368.7038848463,1538228.8175643387
20170516,1521427.0466760397,1105368.7038848463,1538228.8175643387
20170517,1509379.5474376546,1105368.7038848463,1538228.8175643387
20170518,1502495.2621585776,1105368.7038848463,1538228.8175643387
20170519,1495610.9768795006,1105368.7038848463,1538228.8175643387
20170522,1493889.9055597312,1105368.7038848463,1538228.8175643387
20170523,1512821.690077193,1105368.7038848463,1538228.8175643387
20170524,1516263.832716732,1105368.7038848463,1538228.8175643387
20170525,1566174.9009900407,1105368.7038848463,1538228.8175643387
20170526,1566174.9009900407,1105368.7038848463,1539615.0253485616
20170531,1583385.6141877335,1105368.7038848463,1556533.8717809631
20170601,1581664.5428679644,1105368.7038848463,1554841.9871377232
20170602,1578222.4002284259,1105368.7038848463,1551458.217851243
20170605,1554127.4017516559,1105368.7038848463,1527771.8328458802
20170606,1555848.473071425,1105368.7038848463,1529463.7174891203
20170607,1571338.1149493488,1105368.7038848463,1544690.6792782822
20170608,1571338.1149493488,1105368.7038848463,1544690.6792782822
20170609,1574780.2575888874,1105368.7038848463,1548074.4485647625
20170612,1567895.9723098099,1105368.7038848463,1541306.9099918017
20170613,1569617.0436295792,1105368.7038848463,1542998.7946350418
20170614,1562732.7583505022,1105368.7038848463,1536231.2560620813
20170615,1555848.473071425,1105368.7038848463,1529463.7174891203
20170616,1552406.3304318867,1105368.7038848463,1526079.9482026403
20170619,1571338.1149493488,1105368.7038848463,1544690.6792782822
20170620,1569617.0436295792,1105368.7038848463,1542998.7946350418
20170621,1574780.2575888874,1105368.7038848463,1548074.4485647625
20170622,1591990.97078658,1105368.7038848463,1564993.2949971643
20170623,1591990.97078658,1105368.7038848463,1564993.2949971643
20170626,1600596.3273854265,1105368.7038848463,1573452.7182133652
20170627,1610922.755304042,1105368.7038848463,1583604.0260728062
20170628,1622970.254542427,1105368.7038848463,1595447.2185754874
20170629,1622970.254542427,1105368.7038848463,1595447.2185754874
20170630,1616085.96926335,1105368.7038848463,1588679.6800025268
20170703,1617807.040583119,1105368.7038848463,1590371.564645767
20170704,1607480.6126645035,1105368.7038848463,1580220.256786326
20170705,1612643.8266238112,1105368.7038848463,1585295.910716046
20170706,1617807.040583119,1105368.7038848463,1590371.564645767
20170707,1629854.5398215041,1105368.7038848463,1602214.7571484484
20170710,1650507.3956587352,1105368.7038848463,1622517.3728673302
20170711,1764098.1027635073,1105368.7038848463,1734181.7593211818
20170712,1779587.744641431,1105368.7038848463,1749408.7211103435
20170713,1875967.7385485105,1105368.7038848463,1844154.2611317937
20170714,1875967.7385485105,1105368.7038848463,1844154.2611317937
20170717,1860478.096670587,1105368.7038848463,1828927.299342632
