trial,total,ann,sharpe,mdd,n_A,n_G,has_cashbond,eq_total
156,-0.1503211503781824,-0.02300007114417446,-0.07636447294187614,-0.4743597039438961,5,5,True,0.4998304600595458
157,-0.17971527286355338,-0.027901139845391998,-0.15394780333614208,-0.3254654518201745,4,6,True,1.1788341605406023
158,-0.2373269832453081,-0.03796063994854537,-0.11018097252896475,-0.41141393111644187,4,6,True,1.0692189218508248
159,-0.44499689095118655,-0.08066383414683476,-0.3383623594656232,-0.5853242290230969,4,6,True,0.8518022815398991
160,-0.4996782325786644,-0.09418433094835921,-0.3739059904379781,-0.5507506655829695,2,8,True,0.7212168272216772
161,-0.14502862236494662,-0.02213309743815517,-0.07727246291717418,-0.3923233864732717,4,6,True,0.7219465101927363
162,-0.35979327270750194,-0.06171631010002099,-0.260711102503979,-0.40116293295330974,2,8,True,0.8018409951814167
163,-0.1327658755016179,-0.02014186860734435,-0.05556562807975172,-0.5773924131252246,6,4,True,0.671565607603511
164,-0.2805480853804899,-0.04594441305880004,-0.16688397635808663,-0.43578086878138633,4,6,True,1.2305521303050933
165,-0.42492913847354186,-0.07598752117354468,-0.31384982030664843,-0.4620897697890329,3,7,True,0.9805621301787282
166,0.6044988616211873,0.06987079851298428,0.37133145428449627,-0.2942682262975818,6,4,True,0.4101394517682635
167,-0.2677324236290818,-0.04353517031125109,-0.2695109137726902,-0.3792126492896004,5,5,True,0.98202918055429
168,0.08403022276332983,0.011592087006060847,0.02802094064959101,-0.30045918758003776,5,5,True,0.7322948617651048
169,-0.2570109251117474,-0.041547222459372146,-0.11248463281085705,-0.5060703910099508,5,5,True,0.8951331062755361
170,0.07178101916763002,0.009951329993948876,0.04220952998115636,-0.23592780806001568,5,5,True,0.6747523309951169
171,-0.012288569564381069,-0.0017646539422964125,-0.022588344238847726,-0.36493650225293894,4,6,True,0.8624350243509498
172,-0.2121486270011318,-0.03348683403727526,-0.10189295377895037,-0.5725456492487785,6,4,True,1.0368758830949698
173,-0.10672317994050728,-0.01599185377760881,-0.035403769478208676,-0.5573855283861784,5,5,True,1.3807593292261777
174,0.0001896395974401166,2.7086520927754876e-05,0.021121165259940178,-0.39052184190871797,5,5,True,1.0372774341023159
175,0.02178626884578616,0.0030833484033181424,0.057099690179742243,-0.39696855054065605,6,4,False,0.7267470916992098
176,-0.37686804659885187,-0.06533246511229784,-0.2317267602779959,-0.5332935147185759,3,7,True,0.7897127898800915
177,-0.20016584623316636,-0.03140058120215872,-0.13800102072528067,-0.40934613389605873,5,5,True,0.5743495572682138
178,0.07778212939516638,0.010757164137561226,0.08985026786706349,-0.3587222550169953,4,6,False,1.176031038220847
179,-0.4272461804172195,-0.07652024366480648,-0.31727512698536126,-0.6073216146450817,5,5,True,0.6830281613071847
180,0.72620925461119,0.0811032675558172,0.39325943370579863,-0.2992309978105206,9,1,False,0.7330377213712567
181,-0.19162337631629678,-0.0299295975795425,-0.07416133548067548,-0.5348414619095422,6,4,True,0.9345727699962716
182,-0.1706673882361005,-0.026376706542390438,-0.17183643203466875,-0.35347459190591796,5,5,True,0.6255921686327643
